Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2021,Mechanical Engineer,Land O'Lakes,NY
Data Science,School of Engineering,Bachelor's,5/15/2021,Quantitative Analyst,3M,NY
Political Science,College of Arts and Sciences,Bachelor's,5/15/2025,Compliance Analyst,Ameriprise Financial,IA
Social Work,School of Education,Bachelor's,5/15/2025,Inside Sales Rep,Polaris,MA
Social Work,School of Education,Bachelor's,5/15/2022,Instructor,Ameriprise Financial,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Electrical Engineer,IBM,CA
Computer Science,School of Engineering,Bachelor's,5/15/2020,Web Developer,Hennepin County,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Visual Designer,Mortenson,WI
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Instructor,Ryan Companies,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2021,Education Coordinator,Minneapolis Public Schools,MN
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2023,Data Scientist,Minneapolis Public Schools,CA
Human Resources Management,Opus College of Business,Bachelor's,5/15/2019,Business Development Associate,Accenture,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Lab Technician,Ryan Companies,MN
Accounting,Opus College of Business,Bachelor's,5/15/2025,Physical Therapist,Fairview,IA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Tutor,EY,MN
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2020,Health Coach,Minneapolis Public Schools,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Lab Technician,General Mills,MA
English,College of Arts and Sciences,Bachelor's,5/15/2020,Community Outreach Specialist,Wayzata Public Schools,FL
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2025,Receptionist,St. Paul Public Schools,GA
Nursing,College of Arts and Sciences,Bachelor's,5/15/2022,Quantitative Analyst,Mayo Clinic,MA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2020,Scientist,US Army,OH
Physics,College of Arts and Sciences,Bachelor's,5/15/2020,Talent Acquisition Specialist,EY,MA
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2025,Community Outreach Specialist,McKinsey,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Tax Associate,McGough Construction,CA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Procurement Specialist,RBC Wealth Management,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Management Consultant,PwC,IA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Content Strategist,McKinsey,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Mechanical Engineer,Polaris,MN
Public Health,College of Arts and Sciences,Bachelor's,5/15/2020,Clinical Research Coordinator,Children's Minnesota,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Research Scientist,KPMG,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2020,Field Engineer,Peace Corps,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Supply Chain Coordinator,General Mills,IA
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Research Assistant,Optum,CA
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2025,Analyst,Kraus-Anderson,SD
Computer Science,School of Engineering,Bachelor's,5/15/2019,Business Analyst,McGough Construction,WA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2022,Analytics Consultant,Wayzata Public Schools,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Receptionist,Peace Corps,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Team Lead,Toro Company,FL
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2025,Policy Analyst,Fairview,MA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Quantitative Analyst,Medtronic,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Inside Sales Rep,Target,OH
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Social Worker,RBC Wealth Management,FL
Nursing,College of Arts and Sciences,Bachelor's,5/15/2022,Scientist,Fastenal,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Assistant,Toro Company,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,City Planner,US Army,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Project Engineer,Deloitte,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Receptionist,US Bank,IL
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Instructor,Fastenal,TX
Data Science,School of Engineering,Bachelor's,5/15/2019,Community Outreach Specialist,PwC,SD
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2024,Inside Sales Rep,Hennepin County,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Tax Associate,Allianz,OH
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2021,Electrical Engineer,Grant Thornton,OH
Social Work,School of Education,Bachelor's,5/15/2021,Tutor,General Mills,IL
Accounting,Opus College of Business,Bachelor's,5/15/2022,UX Designer,Securian Financial,SD
Accounting,Opus College of Business,Bachelor's,5/15/2020,DevOps Engineer,KPMG,WI
Elementary Education (K-6),School of Education,Bachelor's,5/15/2021,Benefits Analyst,Minneapolis Public Schools,MN
Systems Engineering,School of Engineering,Bachelor's,5/15/2024,Web Developer,Google,CA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2023,UX Designer,Kraus-Anderson,NE
Systems Engineering,School of Engineering,Bachelor's,5/15/2024,Business Intelligence Analyst,Peace Corps,CA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,Content Strategist,Optum,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Legal Coordinator,St. Paul Public Schools,WA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2021,UX Designer,Osseo Area Schools,FL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Research Scientist,Osseo Area Schools,NY
Journalism,College of Arts and Sciences,Bachelor's,5/15/2020,PR Specialist,St. Paul Public Schools,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Legislative Aide,UnitedHealth Group,OH
Social Work,School of Education,Bachelor's,5/15/2020,Supply Chain Coordinator,AmeriCorps,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2020,Operations Analyst,McGough Construction,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Accountant,IBM,TX
Social Work,School of Education,Bachelor's,5/15/2021,Grant Writer,US Army,MN
Computer Science,School of Engineering,Bachelor's,5/15/2022,Quantitative Analyst,Cargill,MA
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Data Analyst,Target,GA
Civil Engineering,School of Engineering,Bachelor's,5/15/2022,Tax Associate,General Mills,OH
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Program Manager,Securian Financial,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Property Manager,Kraus-Anderson,FL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Benefits Analyst,City of Minneapolis,WI
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,Construction Manager,McKinsey,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Mechanical Engineer,Great River Energy,CA
Computer Engineering,School of Engineering,Bachelor's,5/15/2024,Software Engineer,Optum,NE
Political Science,College of Arts and Sciences,Bachelor's,5/15/2023,Social Worker,Accenture,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Compliance Analyst,Optum,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2019,Construction Manager,Kraus-Anderson,MN
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2022,Recruiter,Land O'Lakes,SD
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,UnitedHealth Group,ND
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Talent Acquisition Specialist,Ryan Companies,SD
Data Science,School of Engineering,Bachelor's,5/15/2019,Lab Technician,Great River Energy,IA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Physical Therapist,Fairview,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Team Lead,KPMG,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Property Manager,Fastenal,CA
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Administrative Assistant,State of Minnesota,MN
Economics - Business,Opus College of Business,Bachelor's,5/15/2025,Account Manager,Google,IA
Public Health,College of Arts and Sciences,Bachelor's,5/15/2025,Public Administrator,Minneapolis Public Schools,ND
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2022,Appraiser,Peace Corps,MA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Creative Director,Mayo Clinic,WI
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2024,Account Manager,Boston Consulting Group,FL
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,Design Engineer,UnitedHealth Group,WI
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,Procurement Specialist,AmeriCorps,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Accountant,Mortenson,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Project Manager,Google,IL
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,UX Designer,Minneapolis Public Schools,MA
Public Health,College of Arts and Sciences,Bachelor's,5/15/2019,Project Engineer,Cargill,OH
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,HR Generalist,Mayo Clinic,SD
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Teacher,Peace Corps,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Financial Analyst,Medtronic,IA
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2019,Assistant Manager,Accenture,MN
Computer Science,School of Engineering,Bachelor's,5/15/2020,Teaching Assistant,EY,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,Team Lead,Fastenal,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,HR Generalist,Fastenal,ND
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Research Assistant,Osseo Area Schools,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Field Engineer,Toro Company,IA
Journalism,College of Arts and Sciences,Bachelor's,5/15/2025,UX Designer,Land O'Lakes,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Account Executive,UnitedHealth Group,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Marketing Coordinator,Allianz,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Auditor,Google,MN
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Grant Writer,St. Paul Public Schools,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Financial Analyst,Accenture,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Clinical Research Coordinator,University of St. Thomas,NE
Accounting,Opus College of Business,Bachelor's,5/15/2022,Marketing Coordinator,Mayo Clinic,GA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2023,Research Assistant,St. Paul Public Schools,FL
Software Engineering,School of Engineering,Bachelor's,5/15/2023,Benefits Analyst,Honeywell,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Program Coordinator,McGough Construction,WA
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Multimedia Specialist,Wayzata Public Schools,MA
Data Analytics,School of Engineering,Bachelor's,5/15/2020,Visual Designer,Google,WI
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2020,Tax Associate,University of St. Thomas,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Social Worker,Deloitte,MN
Social Work,School of Education,Bachelor's,5/15/2019,Teacher,Children's Minnesota,WI
Electrical Engineering,School of Engineering,Bachelor's,5/15/2020,Civil Engineer,AmeriCorps,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Compliance Analyst,PwC,OH
Operations Management,Opus College of Business,Bachelor's,5/15/2024,Appraiser,PwC,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Business Intelligence Analyst,Deloitte,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Receptionist,Accenture,WA
Computer Engineering,School of Engineering,Bachelor's,5/15/2022,Design Engineer,Polaris,CA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2020,Social Worker,Osseo Area Schools,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Inside Sales Rep,KPMG,SD
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2023,Lab Technician,3M,WA
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2025,Brand Manager,Medtronic,NY
Economics - Business,Opus College of Business,Bachelor's,5/15/2019,Inside Sales Rep,RBC Wealth Management,WA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Administrative Assistant,Grant Thornton,IL
Nursing,College of Arts and Sciences,Bachelor's,5/15/2021,Inspector,Great River Energy,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2022,Business Intelligence Analyst,Wells Fargo,IA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Content Strategist,Best Buy,WI
Accounting,Opus College of Business,Bachelor's,5/15/2025,Underwriter,Wells Fargo,TX
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Program Coordinator,Target,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Account Manager,McGough Construction,MN
Accounting,Opus College of Business,Bachelor's,5/15/2022,Education Coordinator,Ryan Companies,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,DevOps Engineer,PwC,OH
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Project Manager,Allina Health,SD
Operations Management,Opus College of Business,Bachelor's,5/15/2021,Brand Manager,Wells Fargo,GA
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2023,Visual Designer,US Army,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Health Coach,General Mills,NE
Political Science,College of Arts and Sciences,Bachelor's,5/15/2022,Social Worker,Kraus-Anderson,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Operations Analyst,Accenture,CO
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2023,Research Assistant,Cargill,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Benefits Analyst,Cargill,IA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Analyst,Grant Thornton,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Accountant,Google,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Tax Associate,General Mills,OH
Computer Science,School of Engineering,Bachelor's,5/15/2021,Systems Administrator,Cargill,CA
Data Science,School of Engineering,Bachelor's,5/15/2024,DevOps Engineer,McGough Construction,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Clinical Research Associate,McGough Construction,WA
Economics - Business,Opus College of Business,Bachelor's,5/15/2021,Project Manager,Grant Thornton,SD
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2024,Lab Technician,City of Minneapolis,MA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Contract Specialist,Xcel Energy,MA
Computer Science,School of Engineering,Bachelor's,5/15/2024,Web Developer,3M,OH
Data Science,School of Engineering,Bachelor's,5/15/2019,IT Analyst,Optum,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Account Manager,Honeywell,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2025,Electrical Engineer,3M,NY
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2024,Creative Director,Cargill,WI
Software Engineering,School of Engineering,Bachelor's,5/15/2019,Research Assistant,Minneapolis Public Schools,ND
Accounting,Opus College of Business,Bachelor's,5/15/2021,Operations Analyst,University of St. Thomas,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Team Lead,Kraus-Anderson,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Inside Sales Rep,Best Buy,CA
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Project Engineer,Target,MA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2019,Program Coordinator,Deloitte,ND
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Community Outreach Specialist,University of St. Thomas,TX
Social Work,School of Education,Bachelor's,5/15/2022,Auditor,Mayo Clinic,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Scientist,Xcel Energy,TX
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Program Coordinator,Ryan Companies,WA
Economics - Business,Opus College of Business,Bachelor's,5/15/2023,UX Designer,Cargill,NE
Public Health,College of Arts and Sciences,Bachelor's,5/15/2022,Specialist,Best Buy,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Supply Chain Coordinator,Kraus-Anderson,IA
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Business Analyst,Ameriprise Financial,CA
Social Work,School of Education,Bachelor's,5/15/2024,Teacher,Abbott Laboratories,CA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Visual Designer,Wayzata Public Schools,CA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Brand Manager,General Mills,NE
History,College of Arts and Sciences,Bachelor's,5/15/2022,Community Outreach Specialist,Target (Tech),OH
Accounting,Opus College of Business,Bachelor's,5/15/2025,Assistant Manager,General Mills,OH
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Design Engineer,EY,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,PR Specialist,Target (Tech),SD
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Paralegal,CBRE Group,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Program Manager,Deloitte,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Tax Associate,Grant Thornton,IA
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Team Lead,US Bank,ND
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Electrical Engineer,Best Buy,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2019,Research Scientist,Grant Thornton,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Analytics Consultant,Allianz,OH
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2024,Clinical Research Associate,Abbott Laboratories,ND
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Quantitative Analyst,AWS,OH
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Team Lead,UnitedHealth Group,FL
Public Health,College of Arts and Sciences,Bachelor's,5/15/2020,Mechanical Engineer,Optum,NE
Operations Management,Opus College of Business,Bachelor's,5/15/2020,Visual Designer,Land O'Lakes,MA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2024,UX Designer,CBRE Group,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,HR Coordinator,PwC,SD
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Executive Assistant,Fairview,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Mechanical Engineer,Mortenson,WA
Data Analytics,School of Engineering,Bachelor's,5/15/2021,Quantitative Analyst,Boston Consulting Group,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,IT Analyst,Optum,TX
Public Health,College of Arts and Sciences,Bachelor's,5/15/2023,Procurement Specialist,Medtronic,MN
Elementary Education (K-6),School of Education,Bachelor's,5/15/2019,Assistant,Accenture,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Case Manager,Intel,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Paralegal,Osseo Area Schools,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Case Manager,PwC,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Office Coordinator,Securian Financial,MN
Public Health,College of Arts and Sciences,Bachelor's,5/15/2022,Specialist,St. Paul Public Schools,MN
Political Science,College of Arts and Sciences,Bachelor's,5/15/2023,Visual Designer,McKinsey,ND
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Business Intelligence Analyst,UnitedHealth Group,GA
International Business,Opus College of Business,Bachelor's,5/15/2020,Clinical Research Coordinator,EY,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Real Estate Associate,Ryan Companies,OH
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,Software Engineer,Mortenson,WI
Data Science,School of Engineering,Bachelor's,5/15/2022,Real Estate Analyst,St. Paul Public Schools,ND
Data Science,School of Engineering,Bachelor's,5/15/2022,Business Intelligence Analyst,Intel,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2024,Paralegal,Medtronic,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Accountant,KPMG,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Project Manager,Wells Fargo,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Receptionist,Cargill,FL
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,UX Designer,Deloitte,MA
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2019,Compliance Analyst,Abbott Laboratories,MA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Property Manager,General Mills,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,Sales Representative,Cargill,WA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,IBM,FL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2022,Education Coordinator,CBRE Group,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Policy Analyst,3M,WA
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Contract Specialist,General Mills,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Business Development Associate,KPMG,IA
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,Project Engineer,Mortenson,WA
Computer Science,School of Engineering,Bachelor's,5/15/2020,Real Estate Associate,Great River Energy,OH
Civil Engineering,School of Engineering,Bachelor's,5/15/2023,Case Manager,Accenture,FL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Underwriter,Deloitte,ND
Civil Engineering,School of Engineering,Bachelor's,5/15/2021,Construction Manager,Medtronic,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Real Estate Associate,Xcel Energy,WI
Data Science,School of Engineering,Bachelor's,5/15/2024,Coordinator,Donaldson Company,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Community Outreach Specialist,Ryan Companies,NE
Accounting,Opus College of Business,Bachelor's,5/15/2021,DevOps Engineer,Target,IA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2024,Quantitative Analyst,Minneapolis Public Schools,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Brand Manager,AWS,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Grant Writer,Google,WI
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2021,Government Affairs Specialist,Boston Consulting Group,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Underwriter,Sleep Number,WA
Accounting,Opus College of Business,Bachelor's,5/15/2023,Brand Manager,Children's Minnesota,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Tutor,General Mills,TX
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Clinical Research Coordinator,Medtronic,IL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2023,Teacher,Polaris,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,PR Specialist,Wayzata Public Schools,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,IT Analyst,UnitedHealth Group,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2020,Case Manager,CenterPoint Energy,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2019,Teaching Assistant,KPMG,CO
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Teacher,NextEra Energy,CO
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,PR Specialist,Fairview,SD
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2020,Health Coach,Accenture,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Mechanical Engineer,Donaldson Company,TX
Theology,College of Arts and Sciences,Bachelor's,5/15/2022,Government Affairs Specialist,Osseo Area Schools,TX
Civil Engineering,School of Engineering,Bachelor's,5/15/2025,Project Engineer,General Mills,FL
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2021,Content Strategist,CenterPoint Energy,MA
Middle/Secondary Education,School of Education,Bachelor's,5/15/2024,Education Coordinator,University of St. Thomas,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Financial Analyst,Deloitte,CO
Accounting,Opus College of Business,Bachelor's,5/15/2020,Account Executive,General Mills,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Associate,KPMG,GA
Accounting,Opus College of Business,Bachelor's,5/15/2022,Estimator,Kraus-Anderson,CO
Data Science,School of Engineering,Bachelor's,5/15/2024,Compliance Analyst,3M,NE
Accounting,Opus College of Business,Bachelor's,5/15/2021,Policy Analyst,EY,TX
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2025,Specialist,Toro Company,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Accountant,Medtronic,MA
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2020,Inspector,CBRE Group,CO
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Research Assistant,Ameriprise Financial,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,HR Coordinator,Kraus-Anderson,CA
Economics - Business,Opus College of Business,Bachelor's,5/15/2025,Electrical Engineer,Wayzata Public Schools,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Financial Analyst,Optum,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Social Media Manager,Target,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Design Engineer,Cargill,IL
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Underwriter,General Mills,MA
Software Engineering,School of Engineering,Bachelor's,5/15/2023,Financial Analyst,EY,MA
Journalism,College of Arts and Sciences,Bachelor's,5/15/2020,Team Lead,Fastenal,TX
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Teacher,City of Minneapolis,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Tax Associate,Allianz,TX
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,Systems Administrator,AWS,WA
Data Science,School of Engineering,Bachelor's,5/15/2023,Grant Writer,Intel,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,Ameriprise Financial,GA
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Program Manager,Minneapolis Public Schools,ND
Accounting,Opus College of Business,Bachelor's,5/15/2020,Health Coach,PwC,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Assistant Manager,CBRE Group,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2025,Teaching Assistant,Microsoft,FL
Middle/Secondary Education,School of Education,Bachelor's,5/15/2023,Social Worker,Ameriprise Financial,OH
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Web Developer,UnitedHealth Group,SD
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Teaching Assistant,Fairview,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,Wells Fargo,MN
Physics,College of Arts and Sciences,Bachelor's,5/15/2021,Underwriter,Fairview,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Account Manager,Intel,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Social Media Manager,Best Buy,FL
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,Administrative Assistant,Ryan Companies,MN
